href,salary,position,city,work_year,company
/job_detail/6b244117a7c219871nZy0t6-GVNX.html,20-25K·16薪,战斗动画师（游戏研发项目）,上海,1-3年,叠纸游戏
/job_detail/8f22e52eb91f9ad51nV42du1F1RW.html,15-30K,二次元游戏界面设计师UI,上海,3-5年,叠纸游戏
/job_detail/5c8614b2d7b4e1941nR60ti1ElNZ.html,15-25K·16薪,音效师,上海,1-3年,叠纸游戏
/job_detail/368f2b58b36519bb1nF53NS4FFRU.html,15-28K·16薪,3D动画（表演向）（X6） (MJ001267),上海,3-5年,叠纸游戏
/job_detail/96d0d9cc449060fd3nF80967Fls~.html,20-40K,资深特效师,上海,3-5年,叠纸游戏
/job_detail/ecb98abad1c8f0eb0Hdy2N-4FlE~.html,25-40K·16薪,资深游戏UI设计师,上海,3-5年,叠纸游戏
/job_detail/f68a851ce8eed5651nBy2N61F1RR.html,15-25K·16薪,美术招聘,上海,3-5年,叠纸游戏
/job_detail/0209996827b5d50c1nBz3ty4E1pQ.html,15-30K,资深投放优化师（国内）,上海,5-10年,叠纸游戏
/job_detail/9c749add3eeea98c0HF83dy4FVQ~.html,25-50K,UE4地编,上海,3-5年,叠纸游戏
/job_detail/5e882a9c9451d4df1nF93t-4FVZS.html,15-30K·16薪,场景概念设计师 (MJ001334),上海,3-5年,叠纸游戏
/job_detail/038aa035fc86b20e1nF82tm0GFBR.html,20-40K·16薪,技术策划,上海,3-5年,叠纸游戏
/job_detail/3ffa5ac5b2b692251nF_2d26EltU.html,15-26K·16薪,游戏策划,上海,3-5年,叠纸游戏
/job_detail/93d08a8e2beeca601nFy0t-9FVtR.html,15-30K·16薪,美术资源管理,上海,1-3年,叠纸游戏
/job_detail/1837c5c117c0ddbf1nBy09y0GVRR.html,20-40K·16薪,日韩角色原画（非乙女项目）,上海,3-5年,叠纸游戏
/job_detail/15bff91ebef74a701nF539q0FlVX.html,35-65K·16薪,渲染程序/技术美术(图形优化向),上海,3-5年,叠纸游戏
/job_detail/a526c02e914676691nV-0tS8F1BU.html,25-35K·16薪,游戏交互设计师,上海,3-5年,叠纸游戏
/job_detail/73d80ba624d49df43nF_3di5GVI~.html,50-80K·16薪,特效总监,上海,5-10年,叠纸游戏
/job_detail/283a45dfd178dfc21nF43N-7GVVU.html,20-40K·16薪,关卡策划,上海,3-5年,叠纸游戏
/job_detail/f947ea1a9d734cbc3n183d65FlQ~.html,6-7K·13薪,VIP客服专员,上海,经验不限,叠纸游戏
/job_detail/3c524471f34d14661nBy0t-8GFdS.html,20-30K·16薪,高级UI设计师,上海,经验不限,叠纸游戏
/job_detail/0daebc26ea737c331nF93t-8EVNX.html,11-20K,品牌营销（社群）,上海,3-5年,叠纸游戏
/job_detail/dffad41d68ca19991nZy0t6-E1RU.html,20-25K·16薪,文戏动画师（游戏研发项目）,上海,1-3年,叠纸游戏
/job_detail/9789877f80860a2c33d43Nm_EVI~.html,18-28K·14薪,资深特效师,上海,3-5年,叠纸游戏
/job_detail/dd529e9191e29f033nBy3N69Elo~.html,4-6K·13薪,游戏在线客服,芜湖,经验不限,叠纸游戏
/job_detail/dc76fb8e37b540231nZy0t26EVRT.html,18-25K·14薪,材质贴图师,上海,3-5年,叠纸游戏
/job_detail/7771951d9c157d150HF73dy7F1I~.html,20-40K·16薪,高级UE交互设计师,上海,3-5年,叠纸游戏
/job_detail/26f0733e0f96deaf33d43Ny0ElQ~.html,18-30K·14薪,资深分镜师,上海,3-5年,叠纸游戏
/job_detail/952b7b9f5c874aa91nV-3t2-GVFX.html,15-25K,资深视频设计师,上海,5-10年,叠纸游戏
